Comment;Designator;Footprint;LCSC
22pF;C1,C2;Capacitor_SMD:C_0805_2012Metric;
0.1uF;C3,C4,C6;Capacitor_SMD:C_0805_2012Metric;
1uF;C5;Capacitor_SMD:C_0805_2012Metric;
10uF;C7;Capacitor_SMD:C_0805_2012Metric;
PRTR5V0U2X;D1;Package_TO_SOT_SMD:SOT-143;
D_SOD-123;D2,D4,D3,D5;Diode_SMD:D_0805_2012Metric;
500mA;F1;Fuse:Fuse_1206_3216Metric;
OLED1;J1;Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal;
OLED2;J2;Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal;
MX-NoLED;MXLeft1,MXDn1,MXRight1,MXUp1;MX_Only:MXOnly-1U-Hotswap;
22;R2,R1;Resistor_SMD:R_0805_2012Metric;
5.1K;R4,R5;Resistor_SMD:R_0805_2012Metric;
10K;R6,R3;Resistor_SMD:R_0805_2012Metric;
SW_Reset;SW1;random-keyboard-parts:SKQG-1155865;
ATmega32U4-AU;U1;Package_QFP:TQFP-44_10x10mm_P0.8mm;
mullet-pcb-rescue_HRO-TYPE-C-31-M-12-Type-C;USB1;mullet:HRO-TYPE-C-31-M-12-HandSoldering;
16MHz;Y1;Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm;
